YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,14138,BIO,112,C,1,"Organisms,Evolution,Ecosystems",1,  T  R  ,0815-0930am,DANA,146,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14138,BIO,112,C,2,"Organisms,Evolution,Ecosystems",,  T    ,0140-0420pm,WATSON,119,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14138,BIO,112,C,2,"Organisms,Evolution,Ecosystems",,  T    ,0140-0420pm,WATSON,119,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14139,BIO,112,D,1,"Organisms,Evolution,Ecosystems",1,  T  R  ,0815-0930am,DANA,146,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14139,BIO,112,D,1,"Organisms,Evolution,Ecosystems",1,  T  R  ,0815-0930am,DANA,146,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14139,BIO,112,D,2,"Organisms,Evolution,Ecosystems",,   W   ,0130-0420pm,WATSON,119,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14139,BIO,112,D,2,"Organisms,Evolution,Ecosystems",,   W   ,0130-0420pm,WATSON,119,Stanback M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15381,BIO,113,A,1,Integrated Concepts in Bio I,1,    R  ,0815-1055am,WATSON,147,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15381,BIO,113,A,1,Integrated Concepts in Bio I,1,    R  ,0815-1055am,WATSON,147,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15381,BIO,113,A,2,Integrated Concepts in Bio I,, M  W  F ,0830-0920am,LIB,STUDIOD,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15381,BIO,113,A,2,Integrated Concepts in Bio I,, M  W  F ,0830-0920am,LIB,STUDIOD,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15382,BIO,113,B,1,Integrated Concepts in Bio I,1, M  W  F ,0830-0920am,LIB,STUDIOD,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15382,BIO,113,B,1,Integrated Concepts in Bio I,1, M  W  F ,0830-0920am,LIB,STUDIOD,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15382,BIO,113,B,2,Integrated Concepts in Bio I,,    R  ,0140-0420pm,WATSON,147,Campbell M,B1,16,NSRQ,,,,
2016,201601,Fall 2016,15382,BIO,113,B,2,Integrated Concepts in Bio I,,    R  ,0140-0420pm,WATSON,147,Campbell M,B1,16,NSRQ,,,,
